Date;Open;High;Low;Close;Volume;market_cap;total_volume;Value - Hrate;Value - Uadresses;google_trends
07/04/2016;423.5400;424.3900;420.0600;422.0100;1047.5222;1451590.9999999995;43802.00000000002;1285606.22558;390324;2
08/04/2016;422.2700;425.9600;418.0000;418.5510;860.5745;1451591.0;439805.9999999999;1210958.12216;372004;2
09/04/2016;419.3510;420.7500;415.0000;418.0790;847.1066;1451591.0;140003.0;1169486.95359;370187;2
10/04/2016;418.0950;422.9190;416.9600;420.8000;1653.5841;1451591.0;172845.0;1343665.86157;375080;3
11/04/2016;420.6500;424.5000;420.2260;423.5300;1256.0920;1451591.0;39544.0;1443196.66613;320083;3
12/04/2016;423.0000;430.3580;423.0000;426.7100;1155.9864;1451591.0;429931.0000000002;1252429.29072;414497;3
13/04/2016;426.6900;427.7100;422.0000;423.5380;1185.1442;1451591.0;177837.0;1260723.52444;413984;3
14/04/2016;424.1200;425.7720;422.3850;424.5190;513.1856;1451591.0;348715.0;1302194.693;355716;3
15/04/2016;426.0400;431.0200;424.6470;429.2500;637.0832;1451590.9999999998;79125.0;1465554.23047;415731;3
16/04/2016;428.5880;434.2250;427.9720;428.6490;782.7685;1451591.0;62183.000000000015;1287911.29344;367142;3
17/04/2016;430.1000;431.3660;424.5780;427.5500;561.6660;1451591.0;123587.0;1270146.99974;357397;3
18/04/2016;426.7700;429.7980;426.2800;427.4200;1041.3338;1451591.0;164377.0;1358968.46825;351044;3
19/04/2016;427.4200;437.9980;426.8000;436.2770;1174.7370;1451591.0;115333.99999999999;1199089.82493;398662;3
20/04/2016;435.9990;444.0000;434.2700;440.9650;1573.4907;1451591.0;103245.0;1332322.0277;389402;3
21/04/2016;440.9650;451.3390;440.1100;450.1180;929.4930;1451590.9999999998;276926.0;1465554.23046;371250;3
22/04/2016;449.1660;450.0900;442.7000;447.5590;637.1780;1451591.0;145065.00000000003;1341204.17454;401733;3
23/04/2016;446.0030;450.7110;443.2160;450.7110;697.8000;1451591.0;513383.99999999994;1270146.99973;359204;3
24/04/2016;450.7110;460.0000;445.4000;459.5000;1119.7909;1451590.9999999998;67875.00000000001;1279029.14659;366327;3
25/04/2016;459.5000;469.6900;452.5000;461.8820;1499.9278;1451591.0;64411.0;1172443.38437;376201;3
26/04/2016;464.3580;470.0000;462.0850;467.4900;903.1427;1451591.0;525358.0000000001;1128032.65011;407004;3
27/04/2016;466.8400;469.1780;444.0000;444.0100;1581.6505;1451591.0;480036.0;1341204.17454;436154;3
28/04/2016;445.9900;452.0050;435.4270;450.4200;1765.4231;1451590.9999999998;542470.9999999999;1145796.94382;392821;3
29/04/2016;450.4900;457.5900;447.3900;457.5900;943.2540;1951591.0;147797.0;1207843.18309;374956;3
30/04/2016;458.1200;458.1200;446.4400;448.9060;1183.0613;1951590.9999999995;453717.0000000002;1403229.58036;426515;3
01/05/2016;448.9040;454.4690;446.8510;452.0720;286.4537;1951591.0;46714.0;1296655.18185;371890;4
02/05/2016;452.3400;453.5800;440.0000;444.5350;1356.1853;1951591.0;195764.00000000003;1376585.98073;370083;4
03/05/2016;444.5520;452.5200;442.5200;451.7500;1225.4034;1951590.9999999998;408014.0;1394348.38048;391943;4
04/05/2016;451.5200;451.7250;444.8600;447.8410;716.8996;1951590.9999999998;215836.99999999997;1341061.18123;374677;4
05/05/2016;447.7680;450.0000;447.2240;448.7100;642.5431;1951591.0;740925.0;1492041.57911;394207;4
06/05/2016;448.7100;462.3690;447.1710;462.3410;1843.9283;1951590.9999999995;2760419.9999999995;1385467.18061;374537;4
07/05/2016;459.5700;462.1520;457.9200;459.4700;280.7668;1951591.0;73323.99999999999;1438754.37986;375533;4
08/05/2016;459.0000;461.7880;455.9480;459.1000;659.2849;1951591.0;79991.0;1332179.98135;337042;3
09/05/2016;458.0800;464.9900;455.9900;461.9900;1250.3342;1951591.0;324652.0;1447635.57974;349946;3
10/05/2016;461.7210;463.4900;450.0000;452.1300;1013.2436;1951591.0;6093660.000000001;1536447.57849;405580;3
11/05/2016;452.5690;455.0000;450.9900;453.2100;1803.3181;1951591.0;278672.0;1403229.58036;405856;3
12/05/2016;453.2900;455.9500;449.3940;455.9500;840.4801;1951591.0;168533.0;1284309.11259;383199;3
13/05/2016;455.9490;457.5000;452.6120;456.2810;1285.4766;1951590.9999999995;61506.00000000001;1342247.86954;377121;3
14/05/2016;456.8630;458.0590;453.7860;454.5810;956.2047;1951590.9999999998;61732.000000000015;1467781.84295;378733;3
15/05/2016;455.4000;459.7870;454.1400;457.6490;273.8081;1951591.0;218794.00000000003;1390530.16701;369111;3
16/05/2016;457.3970;458.0000;450.1670;453.7690;1269.2395;1951591.0;567669.9999999999;1342247.86954;353892;3
