;SVC signal;return;;return of buy only (SVC);return of buy and hold;;return of buy/sell;;;;AdaBoost signal;;return of buy only (adaboost);;return of buy/sell;;;%;
16/01/2020;1;-0,010285636;-0,010285636;0,990983459;1,052702012;-0,010285636;0,927536368;;;;1;-0,010285636;1,226003206;-0,010285636;1,409278265;;20200303;0,006;0,00006
17/01/2020;1;0,021060118;0,021060118;1,011853688;1,074872041;0,021060118;0,947070393;;;;1;0,021060118;1,251822978;0,021060118;1,438957831;;20200304;0,006;0,00006
18/01/2020;1;0,001033882;0,001033882;1,012899825;1,075983332;0,001033882;0,948049552;;;;1;0,001033882;1,253117215;0,001033882;1,440445544;;20200305;0,006;0,00006
19/01/2020;1;-0,02240239;-0,02240239;0,990208449;1,051878734;-0,02240239;0,926810977;;;;0;0;1,253117215;0,02240239;1,472714966;;20200306;0,006;0,00006
20/01/2020;1;-0,008775759;-0,008775759;0,981518618;1,0426477;-0,008775759;0,918677508;;;;0;0;1,253117215;0,008775759;1,485639158;;20200309;0,006;0,00006
21/01/2020;1;0,010963413;0,010963413;0,992279412;1,054078677;0,010963413;0,928749348;;;;1;0,010963413;1,266855656;0,010963413;1,501926833;;20200310;0,006;0,00006
22/01/2020;1;-0,007371064;-0,007371064;0,984965257;1,046308996;-0,007371064;0,921903478;;;;1;-0,007371064;1,257517583;-0,007371064;1,490856035;;20200311;0,006;0,00006
23/01/2020;1;-0,031043204;-0,031043204;0,95438878;1,013828212;-0,031043204;0,89328464;;;;1;-0,031043204;1,218480208;-0,031043204;1,444575086;;20200312;0,006;0,00006
24/01/2020;1;0,004374203;0,004374203;0,95856347;1,018262902;0,004374203;0,897192048;;;;1;0,004374203;1,223810087;0,004374203;1,450893951;;20200313;0,006;0,00006
25/01/2020;1;-0,012080505;-0,012080505;0,946983539;1,005961772;-0,012080505;0,886353515;;;;1;-0,012080505;1,209025843;-0,012080505;1,433366419;;20200316;0,006;0,00006
26/01/2020;0;0,032143758;0;0,946983539;1,038297164;-0,032143758;0,857862782;;;;0;0;1,209025843;-0,032143758;1,387292636;;20200317;0,006;0,00006
27/01/2020;0;0,034014397;0;0,946983539;1,073614216;-0,034014397;0,828683097;;;;0;0;1,209025843;-0,034014397;1,340104714;;20200318;0,006;0,00006
28/01/2020;1;0,057142536;0,057142536;1,00109658;1,134963254;0,057142536;0,876036151;;;;0;0;1,209025843;-0,057142536;1,263527732;;20200319;0,006;0,00006
29/01/2020;1;-0,012144758;-0,012144758;0,988938504;1,1211794;-0,012144758;0,865396904;;;;1;-0,012144758;1,194342517;-0,012144758;1,248182494;;20200320;0,006;0,00006
30/01/2020;1;0,023574538;0,023574538;1,012252273;1,147610687;0,023574538;0,885798236;;;;1;0,023574538;1,22249859;0,023574538;1,277607819;;20200323;0,006;0,00006
31/01/2020;0;-0,016967528;0;1,012252273;1,12813857;0,016967528;0,900828042;;;;1;-0,016967528;1,201755811;-0,016967528;1,255929973;;20200324;0,006;0,00006
01/02/2020;0;0,004283985;0;1,012252273;1,132971499;-0,004283985;0,896968908;;;;1;0,004283985;1,206904115;0,004283985;1,261310359;;20200325;0,006;0,00006
02/02/2020;0;-0,005844087;0;1,012252273;1,126350316;0,005844087;0,902210872;;;;0;0;1,206904115;0,005844087;1,268681566;;20200326;0,006;0,00006
